682,ilia nouretdinov
683,siau-cheng khoo
684,xiao li
685,arik friedman
686,simon urbanek
687,ling chen
688,jinpeng huai
689,hai-son le
690,qinqing zheng
691,yukun zhu
692,deepti pachauri
693,charles a. sutton
694,robert kleinberg
695,liu wenyin
696,anton van den hengel
697,lijun zhang
698,chang-tien lu
699,jennifer wortman
700,jörg ontrup
701,krishna kummamuru
702,alin dobra
703,lynda hardman
704,shuang-hong yang
705,uwe dick
706,jon iturrioz
707,john c. mitchell
708,yu cheng
709,josé san pedro
710,lev faivishevsky
711,yi zhang
712,andriy mnih
713,zhandong liu
714,anthony d. joseph
715,anthony wirth
716,shaojun wang
717,cho-jui hsieh
718,bing zhao
719,kazuo okanoya
720,maja r. rudolph
721,shuiwang ji
722,vassilis christophides
723,alexandre bouchard-côté
724,xiaoxun zhang
725,takeo kanade
726,gill bejerano
727,matthew f. der
728,ting liu
729,leland wilkinson
730,volkan cevher
731,varun r. embar
732,david b. dunson
733,lei shi
734,bin zhao
735,jun-ming xu
736,liang sun
737,yunpeng pan
738,gaël varoquaux
739,junyuan xie
740,herbert jaeger
741,michael j. pazzani
742,xu jia
743,xuan hong dang
744,huan sun
745,piero fraternali
746,jerry scripps
747,magnus rattray
748,gang huang
749,tetsuro morimura
750,zoubin ghahramani
751,ji liu
752,jeffrey m. beck
753,weiwei cheng
754,feiping nie
755,peggy seriès
756,geoff jiang
757,françois laviolette
758,philipp geiger
759,samet oymak
760,james martens
761,narayanan sadagopan
762,zhenyu zhang
763,horst bunke
764,toby hocking
765,cristian bucila
766,hongyang zhang
767,jeremy kubica
768,matthew hurst
769,rod hook
770,collin jackson
771,matthew richardson
772,wei jin
773,shi zhi
774,karthikeyan shanmugam
775,vit niennattrakul
776,rony paz
777,xiangji huang
778,brian tanner
779,nicolas méger
780,wentong li
781,ryota tomioka
782,joe zachariah
783,gert r. g. lanckriet
784,zijian zheng
785,yuting zhang
786,hartmut obendorf
787,denilson barbosa
788,luke mcdowell
789,tao chen
790,shun-ichi amari
791,zaïd harchaoui
792,pei sun
793,mathieu blondel
794,ramendra k. sahoo
795,mengling feng
796,wenwu zhu
797,benjamin c. m. fung
798,stephan seufert
799,zhi-hong deng
800,daniel bartz
801,liwei wang
802,oluwasanmi o. koyejo
803,chuancong gao
804,bianca zadrozny
805,shumeet baluja
806,fei chen
807,mo yu
